Name,Articles,GitHub,LinkedIn,Petron,Tags,Twitter,Vidoes,Website
Anjana Vakil,,https://github.com/vakila,https://www.linkedin.com/in/anjanavakil/,,"engineer, mentor",https://twitter.com/AnjanaVakil,,https://vakila.github.io/
Kyle Simpson,,https://github.com/getify,https://www.linkedin.com/in/getify/,,"engineer, mentor",https://twitter.com/getify,,https://me.getify.com/
Wes Bos,https://www.wesbos.com/blog,https://github.com/wesbos,,,"engineer, mentor",https://twitter.com/wesbos,https://www.youtube.com/wesbos,https://www.wesbos.com/
Nicholas C. Zakas,,,https://www.linkedin.com/in/nzakas,,"engineer, mentor",https://twitter.com/slicknet,,https://humanwhocodes.com/
Sara Soueidan,,,,,"engineer, mentor",https://twitter.com/SaraSoueidan,,https://www.sarasoueidan.com/blog/
Jeff Delaney,https://medium.com/@jeffdelaney,https://github.com/codediodeio,https://www.linkedin.com/in/jeff-delaney/,,"engineer, mentor",https://twitter.com/jeffdelaney23,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,https://fireship.io/
Clement Mihailescu,,https://github.com/clementmihailescu,https://www.linkedin.com/in/clementmihailescu/,,"engineer, founder, mentor",https://twitter.com/clemmihai,,http://www.clementmihailescu.com/
Addy Osmani,https://medium.com/@addyosmani,https://github.com/addyosmani,,,"engineer, mentor",https://twitter.com/addyosmani,,"https://addyosmani.com/, https://addyosmani.com/blog/"
Paul Irish,https://github.com/paulirish,https://github.com/paulirish,,,"engineer, mentor",https://twitter.com/paul_irish,,https://paulirish.com/
Babel McKenzie,https://medium.com/@sebmck,,,,"engineer, mentor",,,
Umaar Hansa,,https://github.com/umaar,,,"engineer, mentor",https://twitter.com/umaar,https://umaar.com/videos/,https://umaar.com/
Kent C. Dods,https://kentcdodds.com/blog/,https://github.com/kentcdodds/,,,"engineer, mentor",https://twitter.com/kentcdodds/,https://www.youtube.com/channel/UCz-BYvuntVRt_VpfR6FKXJw,https://kentcdodds.com
Dan Abramov,,https://github.com/gaearon,,,"engineer, mentor",twitter.com/dan_abramov,,https://overreacted.io/
Eric Elliott,https://medium.com/@_ericelliott,,,,"engineer, mentor",https://twitter.com/_ericelliott,https://www.youtube.com/channel/UCAbA0FivNSBqTmyYrh6uymQ,https://ericelliottjs.com/
Cory House,https://medium.com/@housecor,https://github.com/coryhouse,,,"engineer, mentor",https://twitter.com/housecor,,https://www.reactjsconsulting.com/
Traverse Media,,,,https://www.patreon.com/traversymedia,"engineer, mentor",https://twitter.com/traversymedia,https://www.youtube.com/user/TechGuyWeb,https://www.traversymedia.com
Evan You,,https://github.com/yyx990803,,,"engineer, mentor",https://twitter.com/youyuxi,,https://evanyou.me/